filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
03-718x1024.jpg,202947,"{}",100,0,"{""name"":""rect"",""x"":5,""y"":207,""width"":233,""height"":44}","{}"
03-718x1024.jpg,202947,"{}",100,1,"{""name"":""rect"",""x"":245,""y"":209,""width"":126,""height"":39}","{}"
03-718x1024.jpg,202947,"{}",100,2,"{""name"":""rect"",""x"":375,""y"":211,""width"":148,""height"":34}","{}"
03-718x1024.jpg,202947,"{}",100,3,"{""name"":""rect"",""x"":531,""y"":208,""width"":155,""height"":53}","{}"
03-718x1024.jpg,202947,"{}",100,4,"{""name"":""rect"",""x"":3,""y"":255,""width"":99,""height"":33}","{}"
03-718x1024.jpg,202947,"{}",100,5,"{""name"":""rect"",""x"":124,""y"":255,""width"":75,""height"":26}","{}"
03-718x1024.jpg,202947,"{}",100,6,"{""name"":""rect"",""x"":34,""y"":283,""width"":140,""height"":44}","{}"
03-718x1024.jpg,202947,"{}",100,7,"{""name"":""rect"",""x"":191,""y"":279,""width"":110,""height"":50}","{}"
03-718x1024.jpg,202947,"{}",100,8,"{""name"":""rect"",""x"":316,""y"":280,""width"":109,""height"":40}","{}"
03-718x1024.jpg,202947,"{}",100,9,"{""name"":""rect"",""x"":441,""y"":283,""width"":158,""height"":49}","{}"
03-718x1024.jpg,202947,"{}",100,10,"{""name"":""rect"",""x"":604,""y"":289,""width"":97,""height"":40}","{}"
03-718x1024.jpg,202947,"{}",100,11,"{""name"":""rect"",""x"":5,""y"":327,""width"":142,""height"":39}","{}"
03-718x1024.jpg,202947,"{}",100,12,"{""name"":""rect"",""x"":162,""y"":321,""width"":134,""height"":42}","{}"
03-718x1024.jpg,202947,"{}",100,13,"{""name"":""rect"",""x"":304,""y"":321,""width"":81,""height"":35}","{}"
03-718x1024.jpg,202947,"{}",100,14,"{""name"":""rect"",""x"":387,""y"":322,""width"":106,""height"":44}","{}"
03-718x1024.jpg,202947,"{}",100,15,"{""name"":""rect"",""x"":504,""y"":321,""width"":148,""height"":38}","{}"
03-718x1024.jpg,202947,"{}",100,16,"{""name"":""rect"",""x"":655,""y"":319,""width"":51,""height"":36}","{}"
03-718x1024.jpg,202947,"{}",100,17,"{""name"":""rect"",""x"":6,""y"":362,""width"":105,""height"":35}","{}"
03-718x1024.jpg,202947,"{}",100,18,"{""name"":""rect"",""x"":119,""y"":355,""width"":100,""height"":41}","{}"
03-718x1024.jpg,202947,"{}",100,19,"{""name"":""rect"",""x"":238,""y"":360,""width"":116,""height"":33}","{}"
03-718x1024.jpg,202947,"{}",100,20,"{""name"":""rect"",""x"":358,""y"":352,""width"":137,""height"":40}","{}"
03-718x1024.jpg,202947,"{}",100,21,"{""name"":""rect"",""x"":500,""y"":354,""width"":138,""height"":43}","{}"
03-718x1024.jpg,202947,"{}",100,22,"{""name"":""rect"",""x"":647,""y"":361,""width"":67,""height"":35}","{}"
03-718x1024.jpg,202947,"{}",100,23,"{""name"":""rect"",""x"":100,""y"":391,""width"":109,""height"":34}","{}"
03-718x1024.jpg,202947,"{}",100,24,"{""name"":""rect"",""x"":5,""y"":402,""width"":83,""height"":24}","{}"
03-718x1024.jpg,202947,"{}",100,25,"{""name"":""rect"",""x"":213,""y"":395,""width"":140,""height"":36}","{}"
03-718x1024.jpg,202947,"{}",100,26,"{""name"":""rect"",""x"":362,""y"":394,""width"":99,""height"":35}","{}"
03-718x1024.jpg,202947,"{}",100,27,"{""name"":""rect"",""x"":464,""y"":393,""width"":55,""height"":40}","{}"
03-718x1024.jpg,202947,"{}",100,28,"{""name"":""rect"",""x"":525,""y"":394,""width"":49,""height"":38}","{}"
03-718x1024.jpg,202947,"{}",100,29,"{""name"":""rect"",""x"":578,""y"":396,""width"":23,""height"":32}","{}"
